speaker,time,message,timestring,uuid,user_id,step,scene,start_time
You,1692944400.6253793,"No kidding, it's a big change for you all.","Friday, August 25, 2023 at 06:20AM ",0e20649a-a67a-4e76-a029-e9004882ec75,p11,7,scene2_questions,
Ryno,1692944449.037739,Lots of us here think things are stuck and can't change. But do you think we can still make things better?,"Friday, August 25, 2023 at 06:20AM ",11e4c61e-3413-4901-81ac-080061efff60,p11,10,scene2_questions,1692944133.1389956
You,1692943553.9165425,可以,"Friday, August 25, 2023 at 06:05AM ",1a8c9e36-ffda-47c9-a44f-78fd74a3aa31,p11,5,scene1,
You,1692943453.848266,,"Friday, August 25, 2023 at 06:04AM ",1d835396-727e-4fef-8382-6a1ccdd99e7b,p11,2,prologue,
You,1692943458.6415288,,"Friday, August 25, 2023 at 06:04AM ",3d617b1b-796c-4819-9dce-4f7b1d5abc1f,p11,3,prologue,
You,1692944501.8276052,"Nope, I believe every small action matters!","Friday, August 25, 2023 at 06:21AM ",4495991b-e7fa-4554-b397-155b076f638d,p11,13,scene2_questions,
You,1692943609.6708233,我来自中国的美丽城市,"Friday, August 25, 2023 at 06:06AM ",45b1b1f0-6ed4-45ab-96b7-22f62bc98349,p11,6,scene1,
Ryno,1692943990.3699632,因为人类毁坏环境，大自然承受不住，最后人类遭到反噬，生态系统开始瓦解,"Friday, August 25, 2023 at 06:13AM ",4d82aa7b-dfba-43b0-ac5a-a04c15df6c8e,p11,6,scene2,1692943838.9067364
Ryno,1692943459.0833652,,"Friday, August 25, 2023 at 06:04AM ",5cb981b2-ba0e-4d4e-aea1-a8e5c6783940,p11,3,prologue,
Ryno,1692944435.7908943,Guessing the future is tough. What do you think about the kind of world we're leaving for kids? It's a really big thought.,"Friday, August 25, 2023 at 06:20AM ",5d732f52-77d3-4951-9bb0-87a43d95b3ba,p11,9,scene2_questions,1692944133.1389956
You,1692944132.7576728,这跟我现在的世界差不多,"Friday, August 25, 2023 at 06:15AM ",62d9b851-7e63-4f22-8a85-ed45d4eda3fa,p11,5,scene2_animation,
